scenario,fare,comm-rate,mode_share,earn_req_sat,serv_req_part,idle_time,regist,ptcp_prob,match_rate,match_time,pickup_time
0.05_0.5,5,0.5,0.05030222222222222,2.1572601727315646,34.69446323938285,-0.03719403499615582,0.06170666666666666,0.627484874675886,0.8901989861032673,127.56834839195803,253.82370081099813
0.05_0.75,5,0.75,0.064064,3.777900160084662,23.375311997252734,0.3809063525680685,0.10781333333333334,0.7595844669799654,0.9960259621429008,6.922463289418332,164.75094937177963
0.05_1.0,5,1.0,0.04926666666666667,5.122625161449722,17.584073604060915,0.5636187944171714,0.11016000000000001,0.7630113773904622,1.0,-0.7629554676349244,137.32391506827128
0.05_1.25,5,1.25,0.03466488888888889,6.372837153850915,13.564521739130436,0.6830773781613297,0.10071999999999999,0.7611861265554674,1.0,-1.684022138799625,114.48301853805305
0.05_1.5,5,1.5,0.02360533333333334,7.490448781545574,11.262086513994912,0.7462813428394304,0.08728000000000001,0.7204399633363887,1.0,-2.1213689638331563,109.15059514176782
0.05_1.75,5,1.75,0.015556444444444444,8.55064017419645,9.304093567251464,0.7957567113598257,0.074,0.6778378378378378,1.0,-2.5458525626640256,108.29753707283815
0.05_2.0,5,2.0,0.010533333333333334,9.511097696259498,7.734986945169713,0.8340763661817224,0.06546666666666666,0.6240325865580448,1.0,-2.9842668139350033,110.67254796949926
0.05_2.25,5,2.25,0.0070933333333333334,10.587013262083593,6.797274275979557,0.8539256489629277,0.05594666666666667,0.559580552907531,1.0,-3.4157117717638585,117.60122725714105
0.05_2.5,5,2.5,0.0045786666666666675,11.398033212986496,5.886857142857143,0.8735072630932521,0.047573333333333336,0.4904708520179372,1.0,-3.819019119556223,133.05885427496253
0.15_0.5,15,0.5,0.0383191111111111,1.7640551743205406,37.38306289318985,-0.06680361520755713,0.04650666666666667,0.5068807339449541,0.7665830243703132,190.86212693013965,223.50476028978576
0.15_0.75,15,0.75,0.05547022222222222,3.01549982326532,27.085042679695714,0.22974683165657706,0.08634666666666667,0.7050648548486721,0.9908844374999252,16.804119322928084,224.45219320695307
0.15_1.0,15,1.0,0.047048,4.345000467241195,19.767314439703465,0.4973197980708452,0.09671999999999999,0.7380755445271575,0.99977518477746,1.1397589092290579,155.84704645821162
0.15_1.25,15,1.25,0.03346311111111111,5.470271704484378,15.698915763135945,0.6227124855523769,0.08698666666666667,0.7351318209687309,1.0,-1.2415021023318957,134.29597200430615
0.15_1.5,15,1.5,0.022891555555555554,6.4943882253261656,12.667486473192326,0.7094333794279949,0.07776,0.6971879286694102,1.0,-1.8499899752234361,121.62177958225492
0.15_1.75,15,1.75,0.015140444444444444,7.435182156681199,10.572936064556178,0.7639757932202725,0.06728,0.6385255648038048,1.0,-2.2295411139809374,120.548814173238
0.15_2.0,15,2.0,0.010199111111111112,8.319115835454713,8.449189985272461,0.816202718429078,0.060480000000000006,0.5987654320987652,1.0,-2.6215325507495235,119.78924517790217
0.15_2.25,15,2.25,0.006825777777777778,9.33643015106661,7.772267206477734,0.8287749608643417,0.05013333333333333,0.525531914893617,1.0,-3.007054476688188,128.86049075756605
0.15_2.5,15,2.5,0.004384888888888889,9.978980231542293,6.639300134589503,0.8546681074714334,0.042613333333333336,0.464956195244055,1.0,-3.3770268686412046,145.9823341877619
0.1_0.5,10,0.5,0.04430311111111111,1.9602689614493662,36.145919995477264,-0.05824563898476865,0.053653333333333345,0.573558648111332,0.8369092047667737,162.1859474529583,239.4410899359108
0.1_0.75,10,0.75,0.06072533333333334,3.4240355044503303,24.91219804838398,0.32203635256670154,0.09765333333333334,0.7446750409612233,0.9944312324776495,9.459572446277974,186.0049004123756
0.1_1.0,10,1.0,0.04829066666666666,4.7318611580928565,18.56494811664402,0.534518658097649,0.10386666666666668,0.751219512195122,0.9998902606310014,-0.2258458671898893,145.69021791772334
0.1_1.25,10,1.25,0.03410666666666667,5.925560683785865,14.435665914221218,0.6592187352337195,0.09485333333333333,0.7472589260612877,1.0,-1.5718814274291428,121.942675691905
0.1_1.5,10,1.5,0.023281777777777776,6.995323139251721,12.182325581395347,0.7221208321706364,0.08090666666666665,0.7086354647330259,1.0,-1.984271447112614,116.81840265040928
0.1_1.75,10,1.75,0.015384,7.992434784254326,9.755918827508456,0.7847249748523479,0.07194666666666666,0.6575240919199408,1.0,-2.3822988769411997,112.84333224106133
0.1_2.0,10,2.0,0.010359111111111112,8.913547260703142,8.143955276030749,0.8236006720720851,0.06306666666666666,0.6050739957716702,1.0,-2.8028870258658536,116.74875482631914
0.1_2.25,10,2.25,0.006954666666666667,9.91984286957619,7.465648854961832,0.8372606093831004,0.05248,0.5325203252032521,1.0,-3.211572931230569,126.58333587699269
0.1_2.5,10,2.5,0.004476444444444444,10.689298749815737,6.060168471720819,0.8694554963002886,0.045573333333333334,0.48624926857811585,1.0,-3.5914007270071573,135.69541668027162
0.25_0.5,25,0.5,0.02555022222222222,1.3664357732707286,39.911837379289146,-0.07154779300387053,0.03114666666666667,0.28339041095890405,0.4596026361169186,254.06142000328796,193.51535184962043
0.25_0.75,25,0.75,0.04072,2.22927908155625,32.80239075504973,0.011491823629104267,0.060213333333333334,0.578830823737821,0.9358813516011787,91.85983563557734,285.38902697728105
0.25_1.0,25,1.0,0.043083555555555555,3.532755584032148,23.180550125913822,0.386394004947922,0.07997333333333333,0.6955651883961322,0.9976402971519166,5.3119425913119125,187.15796064301927
0.25_1.25,25,1.25,0.03182755555555556,4.580482896803811,17.48290308692804,0.5699498814932145,0.07704,0.7088958116995501,0.9999716673749823,-0.7335903904327209,150.63567319181934
0.25_1.5,25,1.5,0.021807999999999994,5.485911051579089,14.491435321913759,0.659351711097868,0.06813333333333334,0.6626223091976516,1.0,-1.5769598402864993,138.8052783504639
0.25_1.75,25,1.75,0.014486222222222223,6.316096214277466,12.171023151605675,0.720348654488069,0.059680000000000004,0.598302055406613,1.0,-1.913650829954283,139.84644995936162
0.25_2.0,25,2.0,0.009802666666666666,7.111976582720785,9.690685413005273,0.7841991019703952,0.05418666666666667,0.56003937007874,1.0,-2.2588807736620375,135.09519961139574
0.25_2.25,25,2.25,0.006501333333333333,7.992291099910176,8.320819112627985,0.8147978424496914,0.04722666666666667,0.49632975719932243,1.0,-2.6039656654613594,138.17547868083315
0.25_2.5,25,2.5,0.004174222222222222,8.587175273343602,7.453968253968254,0.833155277783467,0.040159999999999994,0.41832669322709165,1.0,-2.9202719254596943,159.58597631225294
0.2_0.5,20,0.5,0.032003555555555556,1.5659069234096286,38.511469960632965,-0.0700565904458218,0.03903999999999999,0.4241803278688525,0.6642490513707663,220.10062262711563,208.98863153791967
0.2_0.75,20,0.75,0.048465777777777774,2.602817883280013,29.934911539418174,0.10997226093297358,0.07224,0.6566998892580289,0.9767113129745605,41.26275915941233,264.9881279440046
0.2_1.0,20,1.0,0.04544266666666667,3.948891941056247,21.016477819766887,0.4568537080419704,0.08978666666666667,0.7223047223047223,0.9997862812760022,2.2481462444548583,167.9063280737332
0.2_1.25,20,1.25,0.03275022222222222,5.0330453423725725,16.365164217263985,0.6033527241767166,0.08312000000000001,0.722168752005133,0.9998367346938776,-0.7848444570792547,139.87202544677208
0.2_1.5,20,1.5,0.022447111111111112,5.998146630508018,13.468266666666668,0.6879033181265592,0.07301333333333333,0.6848064280496713,1.0,-1.714424776072115,128.29043385371895
0.2_1.75,20,1.75,0.014857777777777777,6.901713445769757,10.917700849118221,0.75418207618539,0.06504,0.6277162771627717,1.0,-2.0672868931101487,124.98314308977699
0.2_2.0,20,2.0,0.009972444444444445,7.722754749267173,9.004012841091493,0.8021078002340681,0.05733333333333334,0.5795348837209303,1.0,-2.4395768683643744,126.04634317199877
0.2_2.25,20,2.25,0.006694222222222221,8.67804289060329,8.089151450053706,0.8199898151839854,0.04914666666666667,0.5051546391752577,1.0,-2.8004876582375737,135.04252894962954
0.2_2.5,20,2.5,0.0042586666666666675,9.29046736984511,6.8053977272727275,0.8497148684246093,0.042506666666666665,0.4416562107904643,1.0,-3.13612068042343,150.95467685444672
0.35_0.5,35,0.5,0.01894844444444444,0.9554982828216418,40.13633383233845,-0.07430822646604948,0.024266666666666666,0.03956043956043956,0.06778195890435729,312.71975202468377,185.37815465548738
0.35_0.75,35,0.75,0.025664,1.6793841388290558,37.53387408051658,-0.06201471274395931,0.040080000000000005,0.3878908848968729,0.757905534391146,189.36924996871585,253.34129458202733
0.35_1.0,35,1.0,0.03206133333333333,2.5717564272359645,27.71003475259309,0.20022390595493447,0.05888000000000001,0.5819746376811594,0.9872021585594867,22.021170065462638,265.7062561064823
0.35_1.25,35,1.25,0.028505777777777772,3.6352114229122576,21.04373455518027,0.4551282146778913,0.06298666666666666,0.644792548687553,0.9993952953799482,1.9036141407696012,188.43835862375306
0.35_1.5,35,1.5,0.020252444444444444,4.479769365050752,16.367816091954023,0.6019219305981127,0.059386666666666664,0.6250561293219578,1.0,-1.2610071073523936,160.45183016302454
0.35_1.75,35,1.75,0.013603555555555554,5.207642206037407,13.725560538116591,0.6748793488281009,0.05269333333333333,0.5642712550607287,1.0,-1.5973126196005618,159.73417423547474
0.35_2.0,35,2.0,0.00920711111111111,5.888190545029324,11.030883919062834,0.7483958171109073,0.047786666666666665,0.5239955357142857,1.0,-1.894869684456131,152.38602555742477
0.35_2.25,35,2.25,0.006062222222222222,6.674779727787048,9.38101788170564,0.7857489126027715,0.04306666666666667,0.4501547987616099,1.0,-2.1958706734729145,154.62328501474272
0.35_2.5,35,2.5,0.0038026666666666664,7.207637396475235,7.792349726775956,0.8232357759713875,0.03762666666666667,0.3890857547838412,1.0,-2.473745391232988,167.58542668099952
0.3_0.5,30,0.5,0.021060444444444448,1.1617243391861354,40.21458666789627,-0.07384954138614762,0.0276,0.13429951690821254,0.23592738559226692,287.90818809145816,188.85264672046847
0.3_0.75,30,0.75,0.03328,1.9465596732945831,35.930163776188245,-0.05008758273928185,0.04890666666666667,0.48527808069792805,0.854109128226697,153.53204152029284,270.33834621336484
0.3_1.0,30,1.0,0.039254222222222225,3.084422010187675,25.193732231826772,0.3089279611535905,0.07082666666666668,0.6570030120481927,0.9955178266918255,9.307287361026981,216.7114261431856
0.3_1.25,30,1.25,0.030454222222222223,4.121070037519616,18.790393539190724,0.5286076783683038,0.07144,0.6804777902202315,0.999821587867975,-0.1683036567553586,164.67450623984294
0.3_1.5,30,1.5,0.021148444444444442,4.973346016831099,15.591087811271294,0.6250599637617507,0.06352,0.64063811922754,1.0,-1.4409405713309942,153.45908389627974
0.3_1.75,30,1.75,0.014116444444444445,5.768768329158822,12.786634460547505,0.7035271487655758,0.05669333333333334,0.5841956726246471,1.0,-1.7536088884847876,145.8773164180989
0.3_2.0,30,2.0,0.009497777777777779,6.489431037583433,10.454990215264187,0.7633063859807158,0.05090666666666666,0.5353588266107911,1.0,-2.074445496737937,146.7247484431073
0.3_2.25,30,2.25,0.006297777777777777,7.324942255856381,8.812189054726367,0.801415135205055,0.044719999999999996,0.4794275491949911,1.0,-2.396978932295075,146.69050504860013
0.3_2.5,30,2.5,0.0039884444444444455,7.872242505716611,7.803478260869566,0.8231718879906715,0.03874666666666667,0.39573296627666893,1.0,-2.698253146723289,167.99340053180003
0.45_0.5,45,0.5,0.017855111111111113,0.48772913369536847,42.57293867741159,-0.08017161458333327,0.027093333333333334,0.003937007874015748,0.008477709698294736,317.7534843639887,191.07069346077049
0.45_0.75,45,0.75,0.013579555555555558,1.1168031430003362,40.540022693139285,-0.0711693542756436,0.02450666666666667,0.12948857453754078,0.3157859985915804,276.5474735151679,229.26833256042997
0.45_1.0,45,1.0,0.016875555555555557,1.652818746639083,35.42315888487273,-0.04824078005610874,0.0368,0.3195652173913043,0.822839771831913,165.734362044111,314.5241717829875
0.45_1.25,45,1.25,0.018941333333333334,2.4474839671305455,27.290936515066296,0.1871573134516313,0.0424,0.48301886792452825,0.983595628305923,33.70142098626431,306.519942606254
0.45_1.5,45,1.5,0.016792888888888885,3.350183170598816,20.56778611688584,0.4588135246841903,0.04594666666666667,0.5327916424840395,0.9994297933146944,2.1042319187096363,219.8488539713843
0.45_1.75,45,1.75,0.011637333333333331,4.032863194369381,16.803548470867025,0.5730264009839477,0.04269333333333333,0.48657089319175517,0.9998445049500013,-0.18497516071843165,207.16862206302312
0.45_2.0,45,2.0,0.008190222222222222,4.645132478968051,13.549999999999999,0.6736800194751917,0.04168,0.43506078055022396,1.0,-0.8758463698471189,187.53992649600127
0.45_2.25,45,2.25,0.005306666666666667,5.276226578500854,11.200750469043152,0.7280812758594951,0.03730666666666667,0.38098641887062185,1.0,-1.7898993408261221,196.55689533964832
0.45_2.5,45,2.5,0.003280888888888889,5.756673209369866,8.980535279805354,0.7881699895419295,0.033973333333333335,0.3226059654631083,1.0,-2.0267118266406325,195.08145733853345
0.4_0.5,40,0.5,0.018131555555555554,0.7342733742309235,39.48852841132866,-0.07879687499999988,0.020693333333333338,0.003865979381443299,0.005807705914010492,320.76541987179496,187.16326602564095
