sim_time,reservation_time_trigger,user_requests,request_batch
0,0.0,0.0,0.01085
60,0.0,0.0,0.01809
120,0.0,0.0,0.01414
180,0.0,0.15374,0.00803
240,0.0,0.0,0.01179
300,0.0,0.06876,0.0023
360,0.0,0.13511,0.00452
420,0.0,0.0,0.00936
480,0.0,0.0,0.00962
540,0.0,0.0,0.01022
600,0.0,0.0,0.00697
660,0.0,0.03605,0.00229
720,0.0,0.0,0.0071
780,0.0,0.0,0.00534
840,0.0,0.11003,0.00423
900,0.0,0.10232,0.00218
960,0.0,0.03625,0.00239
1020,0.0,0.0,0.00472
1080,0.0,0.1038,0.00316
1140,0.0,0.06108,0.00439
1200,0.0,0.0975,0.00463
1260,0.0,0.0,0.0118
1320,0.0,0.06071,0.00555
1380,0.0,0.0,0.01222
1440,0.0,0.0271,0.0039
1500,0.0,0.15193,0.00535
1560,0.0,0.03616,0.00509
1620,0.0,0.06507,0.00585
1680,0.0,0.38634999999999997,0.00526
1740,0.0,0.0,0.01232
1800,0.0,0.0,0.00897
1860,0.0,0.0,0.0114
1920,0.0,0.0,0.01253
1980,0.0,0.0,0.0115
2040,0.0,0.09081,0.0031
2100,0.0,0.04348,0.00364
2160,0.0,0.00922,0.00357
2220,0.0,0.0,0.011
2280,0.0,0.0295,0.00302
2340,0.0,0.05732,0.0034
2400,0.0,0.01448,0.00252
2460,0.0,0.04505,0.00333
2520,0.0,0.04993,0.00331
2580,0.0,0.07611,0.00307
2640,0.0,0.0,0.0077
2700,0.0,0.04945,0.00413
2760,0.0,0.08981,0.00398
2820,0.0,0.0,0.01139
2880,0.0,0.16154000000000002,0.00544
2940,0.0,0.05434,0.00482
3000,0.0,0.02383,0.0057
3060,0.0,0.22512,0.00523
3120,0.0,0.0,0.00538
3180,0.0,0.0,0.00873
3240,0.0,0.0,0.01185
3300,0.0,0.05695,0.00382
3360,0.0,0.03116,0.00476
3420,0.0,0.07944,0.00489
3480,0.0,0.0,0.01155
3540,0.0,0.0,0.01138
3600,0.0,0.05951,0.00446
3660,0.0,0.0,0.0125
3720,0.0,0.03732,0.00413
3780,0.0,0.0,0.00654
3840,0.0,0.14586,0.00351
3900,0.0,0.0,0.00987
3960,0.0,0.0,0.00759
4020,0.0,0.0,0.01089
4080,0.0,0.0,0.00434
4140,0.0,0.0,0.00715
4200,0.0,0.0,0.00529
4260,0.0,0.03621,0.00278
4320,0.0,0.07375,0.00258
4380,0.0,0.08116,0.00431
4440,0.0,0.11341000000000001,0.00498
4500,0.0,0.0,0.01247
4560,0.0,0.09788,0.00703
4620,0.0,0.16877999999999999,0.00494
4680,0.0,0.11058,0.0051
4740,0.0,0.0,0.00963
4800,0.0,0.0,0.01217
4860,0.0,0.05061,0.00526
4920,0.0,0.12475,0.00731
4980,0.0,0.14193,0.00803
5040,0.0,0.0,0.01578
5100,0.0,0.07653,0.00689
5160,0.0,0.04301,0.0085
5220,0.0,0.04202,0.01144
5280,0.0,0.0,0.01303
5340,0.0,0.0,0.01056
5400,0.0,0.0972,0.00377
5460,0.0,0.19542,0.00542
5520,0.0,0.30818999999999996,0.00818
5580,0.0,0.31854,0.00852
5640,0.0,0.0,0.01652
5700,0.0,0.2521,0.00875
5760,0.0,0.05526,0.00784
5820,0.0,0.0,0.01379
5880,0.0,0.0,0.00944
5940,0.0,0.0,0.00935
6000,0.0,0.0,0.01293
6060,0.0,0.05452,0.00523
6120,0.0,0.0,0.01235
6180,0.0,0.0,0.01179
6240,0.0,0.04641,0.00426
6300,0.0,0.0,0.01223
6360,0.0,0.0,0.00983
6420,0.0,0.05809,0.00379
6480,0.0,0.0,0.01232
6540,0.0,0.0439,0.00547
6600,0.0,0.11526,0.00296
6660,0.0,0.20919,0.00526
6720,0.0,0.0,0.01282
6780,0.0,0.0,0.01054
6840,0.0,0.09824,0.00495
6900,0.0,0.10106000000000001,0.00445
6960,0.0,0.0,0.01239
7020,0.0,0.0,0.009
7080,0.0,0.0,0.01166
7140,0.0,0.0642,0.00641
